,source,target,ligand,receptor,cpm_threshold,species
897591,dS3,Epi1,APELA,APLNR,False,Homo_sapiens
897592,dS3,Epi1,APLN,APLNR,False,Homo_sapiens
897593,dS3,Epi1,AREG,EGFR,False,Homo_sapiens
897594,dS3,Epi1,ARTN,RET,False,Homo_sapiens
898335,dS3,Epi1,ASAH1,S1PR1,False,Homo_sapiens
898336,dS3,Epi1,ASAH1,S1PR2,True,Homo_sapiens
898337,dS3,Epi1,ASAH1,S1PR3,False,Homo_sapiens
898338,dS3,Epi1,ASAH1,S1PR4,False,Homo_sapiens
898339,dS3,Epi1,ASAH1,S1PR5,False,Homo_sapiens
898340,dS3,Epi1,ASAH2,S1PR1,False,Homo_sapiens
898341,dS3,Epi1,ASAH2,S1PR2,False,Homo_sapiens
898342,dS3,Epi1,ASAH2,S1PR3,False,Homo_sapiens
898343,dS3,Epi1,ASAH2,S1PR4,False,Homo_sapiens
898344,dS3,Epi1,ASAH2,S1PR5,False,Homo_sapiens
898345,dS3,Epi1,ASAH2B,S1PR1,False,Homo_sapiens
898346,dS3,Epi1,ASAH2B,S1PR2,False,Homo_sapiens
898347,dS3,Epi1,ASAH2B,S1PR3,False,Homo_sapiens
